sentiment	numberagreed	tweetid	tweet
neutral	3	3037151	Come join us here... Time  19 May · 19:00 - 22:30 Location  Hilton Hotel neville street Leeds
neutral	3	3320462	Win a Sony Playstation 3 @user ~http 
neutral	3	1449372	“@WhisperingBob: RT @user Opening for Philip Sayce at ABC Glasgow tonight at 7:30pm. Then playing (cont) ~http 
positive	3	2096080	Guys please check out bing every day it has great pictures - ~http 
negative	3	949002	I bought Sony MDR-EX300SLB In-Ear Headphones last year. One ear has stopped working! V disappointed with the quality! Which should I buy?
neutral	3	242897	#someday i hope you gonna see my tweets and that you follow me. @user
neutral	3	657011	For those in the New Orleans area; @user will be speaking on Tiger Tour this Sunday at Hilton Riverside ~http 
neutral	3	461286	Check out our SONY store dance!! ~http 
neutral	3	1542553	On my way back.
positive	3	2152417	Okayy so how about my new word makin' best friend is @user!! Flauge!! We will have to make some more "professional" words!! HAHA! #funny
negative	3	2776311	Handle fell off my Samsung microwave...how in the world did that happen & how am I going to get in back on???
negative	3	2712264	Can be bothered with brekky to cold! And my back hurts :(
neutral	3	1751800	Need to do some gil farming on #GranPulse so I can get sprint shoes and up my weapons. Any gud farming places? #FF13 #FFXIII
positive	3	1241008	todays plan: go play kinect at the microsoft store in park meadows... #lovemyjob
positive	3	720079	Had a good night lastnight!
negative	3	1327187	The most disgusting person is hitting on me;and asked for my number..um..NO!
neutral	3	1508428	Bored in bed jus w8in 4 sum1 else 2 get up first lol
neutral	3	329890	LiesWomenTellRT @user Lameee RT @user #VirgoSeason
negative	3	1353908	Not looking foward to school tomorrow
neutral	3	2421223	Playing Microsoft Flight Simulator X
neutral	3	2050765	Doctors help performers keep bodies in tune ~http 
neutral	3	2863070	adidas ~http  Adidas tech f/f shorts black 30w ;P
neutral	3	154718	[WATCH] adidas Originals – All Originals; Iconics Commercial 2011 [VIDEO] ~http  via @user .
positive	3	1709454	At the Luca Luca show at #MBFW! Raul the CD is ah-MAZING &amp; Gucci from @user created the most beautiful makeup! Can't wait 2 do a vid!
negative	3	2420891	I've all of a sudden got a disliking for Mondays. They're shit.
neutral	3	1522612	I wonder what it feels like being tweeted by @user  ?
neutral	3	2337909	Check this out... Report: Verizon to launch Samsung Droid Prime in October ~http 
neutral	3	2191228	leaving. peace.
neutral	3	1799161	U Joe on my TL
neutral	3	2423116	New post: Microsoft patent applications published on 08 September 2011 ~http 
neutral	3	1199983	Mark Darr with Kurt today at the Benton County Republican Men's Meeting. ~http 
positive	3	1682264	I love bein in love with someone who loves me just as much!!!
neutral	3	894579	;P ~http  sony freerealms Free Realms hits 9M players; closing in on World of Warcraft
negative	3	31708	I wanna make more money. But i don't have the time -_-
neutral	3	3565915	Ordering new Nike glasses (@ Florence Eye Center) ~http 
neutral	3	981169	Come to "Fitness Fiesta" Saturday; February 5 from 9:30 am to 12:00 pm. Fife Institute of Physical &  Recreational... ~http 
negative	3	1607605	Stop staring at me.... Ugh
neutral	3	1006994	So Microsoft got Skype.
positive	3	2847285	Chillin' out; maxin'; relaxin' all cool... xo
neutral	3	149226	Need to start all over again
neutral	3	2722992	corporate lunch order: grilled chicken; grilled Yukon gold potatoes; grilled veggies.  Proves healthy can still be ~http 
negative	3	1500607	Finding it hard to get sleep right now... :/
neutral	3	2417328	just joined a video chat with 78 other people at ~http  #tinychat
negative	3	3397758	Nobody likes a primark girl with a gucci attitude..
positive	3	582583	Living life with no regrets 
neutral	3	736753	Karl Lagerfeld For Macy 's: "He Understands America Very; Very Well" Sneak-peeks of Karl Lagerfeld's campaign for Macy's ~http 
positive	3	1658155	Pure jokes at #RehearsalLyfe with the cast of Church Girl @ Sony Centre! This play is great and the voices are greater! #Blessed
neutral	3	2012983	Stay tuned  Lake Tahoe TVs SportsCentral for news from the NFL and an interview with Sports Illustrated writer Jimmy Traina.
neutral	3	43620	Housing Starts Tick Lower; Building Permits Tick Higher ~http
positive	3	2623116	Over a month strong no ciggs
neutral	3	2352169	“@SHGames: RT and follow us for a chance to win #CoDXP tickets.  We now have 10 left to give away starting now! - #shgames #MW3”
negative	3	3513187	I hope that silly little whore he's with chokes on her gucci bag the silly little strumpit !!! Looking forward to the day she's broke &gt;=D xx
neutral	3	95774	"@ElCapitan317: #NeverApologizeFor buying a $360 gucci belt to tuck your pistol in"..... #DUUUHHH
neutral	3	2257692	The site is call ~http  I was selling motorcycle fairings..
neutral	3	2284749	我顶了一个 YouTube 视频 -- 白色版 Samsung Galaxy S i9000 (white) ~http 
neutral	3	2339344	Q&A: Sony Ericsson's Zorayda Pederson on multichannel marketing: ~http 
positive	3	918338	Pumped for the Gucci Bowl 
negative	3	1539711	Anyways that pisses me off. The thing is its a casj nike bag nothing cool at all. Ah!
neutral	3	1090462	Jump Start Real Estate Investing; Business / Investing #Business #Investing: Step by step tutorials for new real&#8230; ~http
positive	3	2752789	Went for a walk this morning; then did 30 Day Shred! Sitting outside with the cats; cooling down. I love Fall!
neutral	3	313013	restless like a lion
neutral	3	1714162	Blog Update: (cc @user) Audi S5 ~http 
negative	3	1618650	Apllo 18 SUCKS!! #worstmovieEVER
neutral	3	89735	Jason Scott; GM of Microsoft Advertising Asia on audience targeting; best practices; changing landscape ~http  @user
neutral	3	1161964	whats going on peeps
neutral	3	1247842	Madden NFL 12 Hall of Fame Edition: No ratings available.Price: $89.95   Product Features: True to the Game – Th... ~http 
neutral	3	330692	When asked if you "have a sec" and you answer "I have lots of secs"; they will forget their original question. #guarantees
positive	3	1736217	No regrets!:-)
negative	3	101921	Kinda feel a little ripped off on this one.  ~http 
negative	3	783309	Seriously need my own place! these neighbors r so inconsiderate of other people mind you these walls are thin! #2 Goal my own apt. asap -_-
neutral	3	3332160	Diesels account for lofty percentage of Audi A3; Q7 sales in August ~http 
negative	3	1354950	Why the hell did my mom give this bitch a key
negative	3	1244523	Already over school...cannot get myself out of bed for anything. #longdayahead
neutral	3	176228	Buy Microsoft Office 2007 Ultimate (76H-00049) :: eCostSoftware.com - UK Software Supplier: ~http  via @user
neutral	3	1526340	interesting to compare google Vs bing search results!  ~http 
positive	3	1047129	I love Football. #GOJACKETS #GoodGame!
positive	3	67030	#Spain wins 1-0!!  I knew you could do it!
neutral	3	1654910	Time is running out on your chance to win a Nintendo 3DS. Contest ends this Friday! ~http 
neutral	3	3045070	Fresh on nike shoes: 506 Self Improvement Resources
positive	3	1185979	on the internet...ON THE NINTENDO WII!!! awesome...i know!  --&gt; Jennette ;D
neutral	3	105222	Just got of passin league not to long ago
negative	3	638532	Tell FOX News: Newt Gingrich's Obama/Nazi comparison goes too far; even for your network! ~http  @user @user Pls RT
neutral	3	612952	The oval office is about to be in my house!!
positive	3	953292	Damn that shower was good #Winner
neutral	3	3269433	More shakeups in cycling world.  Radio Shack and Leopard-Trek to merge.  (Like if Apple and Microsoft were to join.) ~http 
positive	3	2303097	In the Executive Lounge at Hilton - what makes it better is FREE WI-FI!!!!! :D
positive	3	3039034	I liked a @user video ~http  Gucci Mane - I Don't Love Her ft. Rocko & Webbie ( Official H
positive	3	709178	Happy Family Day everyone..!!! :) Im alone :(.. but you enjoy with your family...:)
neutral	3	2422223	GADGET UPDATE powered by Stuff Samsung Sony and multiscreen ... ~http 
neutral	3	1103095	M.C. Gainey of #Lost and #Justified with @user on the set of #HauntedHigh for #Syfy. Produced by @user. ~http 
neutral	3	3312708	#news Microsoft Unveils Office 365: Productivity Heads to the Cloud  #mashable ~http 
neutral	3	1342177	TODAY ONLY @user
positive	3	1599783	I'm happy to have a friend like u!
neutral	3	335210	Enjoy "Bandstand Boogie" with MVNU's Jazz Band in concert Monday; Nov. 29... ~http 
neutral	3	1370531	Correct grammatical errors in the given sentences : ~http  via @user
negative	3	2683763	Still stuck on ol boy from that liquor store in Kentucky... who would run in with arms outstretched and yell "DADDIES HOME!!"?  He is losin
negative	3	841911	Hate the way these guards be marching! #hardtime
neutral	3	1589131	Duo Hardwood Bikes by Audi ~http 
negative	3	1169507	I hate drawing graph with Microsoft Word !!
neutral	3	305852	When do you guys go back to school??
positive	3	1224343	We killed the gucci party last night you know I had to represent with the white gucci shades all day lol !!! ~http 
neutral	3	62229	In Microsoft Publisher 2007 how do you create a publication back and front?:  ~http
negative	3	1174636	What the hell is with Paris Hilton arrested ! @user is offering something useful instead! ~http 
neutral	3	2499862	Apple + NIke Bike ~http 
positive	3	1125167	a very efficient receptionist and process of receiving guests is credit to @user (@ Microsoft UK Campus) ~http 
neutral	3	1955373	"BaconMania is sweeping the nation!" #sharktank
positive	3	2095996	Too much fun :)
neutral	3	2423141	New post: Sony patents granted on 06 September 2011 ~http 
neutral	3	2344453	Please stop by Larson Audi and donate school supplies to needy families. The school bus will come by on August... ~http 
neutral	3	126040	Gucci on the Pandora Gucci in the car
neutral	3	833099	#Lesbihonest  Irene is just some wind and rain; just get on them boots.   @user #HurricanIrene
positive	3	1040983	Seeing a bunch of comments on N4G talking about how the best games in any genre are always Sony IPs. I'm inclined to agree. ;)
neutral	3	159767	The spring edition of the DHS newsletter can be viewed at: ~http 
neutral	3	2881553	Flyer than the rest of em; still got my nike boots
neutral	3	2197632	#ifitwasuptome I'd win the lottery.
positive	3	2779489	im onsomniactic (spelling baha) cant sleep! busy working on the project with my girls (: cannot wait to go street hunting.
neutral	3	2217637	Daily Challenge: Write a left-field; nonsensical; or unusual ending. #NaNoWriMo
neutral	3	456366	And more Nike boots
positive	3	100110	wow those nike air mag shoes are something serious
neutral	3	1148915	Inc call when I get there
positive	3	90035	MSP Ashishh Khadse : Woo-pie I'm Going for Microsoft Student Partner Boot Camp 2011 @ GOA .............Dream Come True Finally :)
neutral	3	2304885	Sifting through Samsung Mobile Romania tweeted rumors about the Nexus 3 (Prime)
neutral	3	1016871	The Audi Wind Tunnel Centre  Audi’s Wind Tunnel Centre is one of the most modern in the world. It has three... ~http 
positive	3	2887235	Today at work we got to eat a cake called "chocolate nemesis" and made the freezer into a fort. 50 hours of work now = worth it.
neutral	3	2087191	Tornado time
neutral	3	751038	Me and @user still partying..........
neutral	3	2307034	Apple Now Worth More Than Microsoft & Intel Combined ~http  via @user @user
neutral	3	2877372	do any of my followers have a pink nike hoodie?
neutral	3	902841	Laptop SONY vaio js270j/q 20.1" all-in-one desktop intel core 2 duo Price: $339 USD Online Order: ~http 
neutral	3	2423140	New post: Samsung patents granted on 06 September 2011 ~http 
positive	3	2180963	Yes! How cool is that? We'll let u know where! RT @user @user Is Paris Hilton buying ice cream for local listeners?
neutral	3	1397453	"It's not about pefection; it's about getting results" ~ Dani Johnson ~http 
neutral	3	3060069	Check out this video from @user : IGDaily - Hitman: Absolution; New Nintendo Console; PSN Still Down.... ~http 
positive	3	733930	Nothing sounds better than Hilton Head Island right about now.  #ohcarolina
positive	3	1492272	Burnt marshmellows and hawaiian chips. YES.
neutral	3	1587718	Paris Hilton Unplugged: Walks Out on ABC Interview ~http  #parishilton
positive	3	799750	Wow...my husband @user  looks so good in that new adidas commercial..#justsaying
neutral	3	2010779	If you wanna download the latest mixtapes from Gucci Mane; Curren$y; Chris brown; The Weeknd etc... GO HERE! ~http 
neutral	3	755435	gucci gucci 2x say it 2x's
neutral	3	81024	Nintento cuts price of Wii for first time: Nintendo announced the first price cut for its Wii games console foll.. ~http
neutral	3	1417436	TechKash24 | Its Good To Talk tech |: Sony Ericsson's Facebook Competition Shows Two New Phones ~http 
neutral	3	2401903	Check out: @user Brings Rhymes From Brooklyn to Russia ~http  via @user
neutral	3	246146	Apparently Audi are trying to put a pressure on Peugeot and make them do mistake.
neutral	3	3206748	Wholesale Nike Jordan fusion Shoes Prada Gucci Coach Chanel Armani Polo Lacoste Berburry: buy brand shoe.jeans;bags  iFashion2011.com
neutral	3	2151134	anyone have any nike air shoes they wanna sell me? size 10 or 11. also some black slip resistant shoes?
negative	3	2846010	I'm just not in the mood to hear it today! Ugh!!!
neutral	3	806048	.@MTAMaryland Why is there a SB # 3 bus that stops at 25th St?
neutral	3	641113	National media briefing: Carlisle charity shops' 'snowball scheme'; Prince Charles' charities; K9 Crusaders and the ... ~http 
neutral	3	1596749	Electronics Store: Sony Alpha SLTA55V DSLR with Translucent Mirror Technology and 3D Sweep Panorama (Camera Body... ~http 
neutral	3	1590963	were my mans at @user
neutral	3	2159537	Microsoft fixing Hotmail after major outage      (Reuters): Reuters - Microsoft said on Friday it had restored ... ~http 
neutral	3	246305	Contract Hire/Business User Offer Email Campaign for Audi dealer #Audi ~http
neutral	3	89577	Seen it?  Have a favorite?  Image Gallery: Microsoft Infographics ~http
neutral	3	902914	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+16-105mm 8GB KIT Price: $380 USD Online Order: ~http 
neutral	3	2587078	#MM Check out "Hella Fresh 31" podcast by @user ft new cuts by Redman; Ludacris; Gucci Mane; Money Major & more!! ~http 
positive	3	474426	Holy fack!! Rookie blue is on!!! :D
neutral	3	642306	Fit for superheroes: Sony ad is tailor-made ~http 
negative	3	1196283	Goodbyes are the hardest things to do :'((
neutral	3	3329251	Check out Product News : Samsung Creates a New Category of Mobile PC with the Samsung Sliding PC 7 Series
neutral	3	1485519	Best Features of Sony TX10 ~http 
neutral	3	3206733	Wholesale Nike Jordan fusion Shoes Prada Gucci Coach Chanel Armani Polo Lacoste Berburry: buy brand shoe.jeans;bags  ~http 
positive	3	1474360	I love dancing with my boo @user... :)
neutral	3	3045054	Fresh on nike shoes: Latest Wholesale Nfl Hats auctions
neutral	3	1936235	19-year-old arrested over Sony hack; London police say #cnn ~http 
neutral	3	254911	Burrrr its gucci time
neutral	3	2886542	Man at gym dressed in army gear; gucci belt around his head; at the mirror huffing and puffing while juggling water bottles #new-workouts
neutral	3	2270305	hey @user; here’s what I’d spend my years worth of free tickets (~http  on ~http  #skgoldenticket”
neutral	3	1832546	How could i make a team breezy bakersfield
neutral	3	77070	I need to sell my Gucci 's Cuz I don't even wear them no more #shrugs ~http
neutral	3	191732	TODAY IS THE DAY!! Tier Zero Nike X Questlove Dunk High BZ & Strap (415924-601); (434245-700) ~http 
neutral	3	2781095	Photo: NIKE 6.0 Cash for Tricks Intl. Final @ Anglet ~http 
negative	3	2482412	I'm sooo not looking forward to getting up for work tomorrowwww - cant wait for this thing to work! ~http 
neutral	3	2412739	Don't miss our Atlanta REIA Credit Repair Webcast with Rick Harper on Oct 20th at 7PM ET. Register for Free at ~http 
neutral	3	51824	Top of mourning!!! To alll shouts to the KIEMEDIA.COM FAM we got ova 200veiws in 30mins last night!!! On the ATL (cont) ~http 
neutral	3	504987	BRANDON HILTON MERCH IN HOT TOPIC! @user (retweet if you agree!)
positive	3	1299391	Saints game!!!!
neutral	3	3153652	It's an old school Nintendo kind of night.
neutral	3	89048	Today Microsoft unveiled Mango; the next update to Windows Phone 7 - coming this fall. Mango will deliver 500+... ~http
negative	3	2367303	is feeling too old for all-nighters..... What a sad sad day.
neutral	3	362778	Snake Eater 3D Should Be a Solid Investment - Nintendo 3DS Feature at IGN ~http  via @user
neutral	3	3326001	#np Nasty - Gucci & Future
neutral	3	2497922	Not 'you' in general; someone specific.
neutral	3	1191770	I just completed the BUTT BUSTER workout with Nike Training Club. Join the club ~http 
neutral	3	88993	Anyone planning a party for your team or committee? Microsoft has some prizes to give away and will assist. Message me for more details.
negative	3	3362923	How much does the current incarnation of the PSN store and its OS suck on a scale from 1 to 10? SONY needs to shape up quickly.
neutral	3	2154404	Check out our new project with Microsoft Australia: ~http  More images of the campaign to come soon!
neutral	3	593559	Shopping is my exercise.
neutral	3	3069600	They gonna have  adidas sweatsuits  on and have those toes out RT @user It's going to be 87* tomorrow so (cont) ~http 
neutral	3	2226656	Here's a shot of the crowd from The Ex last year. Can you find yourself?? ~http 
negative	3	543294	#nofatgirls
positive	3	3225503	On way to Sony Liverpool; with Brighton last week and Scotland this; it feels like I've not been there for ages! Looking forward to it!
neutral	3	2430395	GameStop Corp. Reports Operating Results (10-Q): Gamestop Corp. Cl A has a market cap of $3.28 billion; its shar... ~http 
neutral	3	1087114	I never knew waves glowed at night
neutral	3	2296677	Playboy NYE 2011 @ The Hilton Chicago $50 off Early Bird Tix Ends Monday  as we announce the New Year's Eve... ~http 
negative	3	885635	Gave a deposition for a girlfriend today; Ex trying to take away her son. Why do people have to be mean? Praying protection for her family!
neutral	3	2296659	12/20/2010 Playboy NYE 2011 @ Hilton Chicago Only a Limited Number of Regularly Priced Tickets Available! After a... ~http 
neutral	3	89269	Stay connected with MSCCN right from your phone!  Download the Microsoft Tag app from the Android or Blackberry... ~http
neutral	3	2530430	TI INSIDE Online - Windows 7 puxa receita e lucro da Microsoft no 2º trimestre fiscal: ~http  via @user
neutral	3	2186662	So desperate for some football games watchin games from last year
positive	3	2252273	"..possibly the most unique and interesting game to come out so far for Nintendo WiiWare" ~http 
neutral	3	89734	Just Published: Beyond the Banner Ad and Commercial: Microsoft and Nielsen Connect TV and Online Audiences ~http
neutral	3	2775287	You didn't tell me you got a new car. I just saw you in front of the sawmill you must be going to Sunday brunch
negative	3	236775	#iregret ever laying eyes on you!! ol #DirtyBitch
neutral	3	114656	#nowplaying comes n goes- gucci lo & shawdy mane....... i mean shawdy lo n gucci mane.......dayumm.....smfh
negative	3	1737808	#ITellYou ( Gucci Voice ) People Juss Uqly .
negative	3	232854	Remembering why I so dislike using Microsoft Project...
negative	3	588395	Sooo Bored  omg
neutral	3	1346802	Ladies Shoe - North Carolina State Wolfpack Women's Grey adidas Originals Vintage Mascot Footb.... Read it now at ~http 
neutral	3	2243160	Think stock market woes will have a negative impact on new car buyers? Think again; says @user ~http 
neutral	3	1007318	Photo: littleradge: ~http
neutral	3	583255	Las Vegas Hilton sportsbook lists @user as the betting favorite in the @user odds ... log on to lpgatourlive.blogspot.com
positive	3	231321	just ordered the sexiest nike customized trainers; ahhh &lt;3 #shoetweets
neutral	3	1317078	My sleepy boy  @ Hilton Hawaiian Village Waikiki Beach Resort ~http 
neutral	3	877273	Photo: Nike MAG 2011 (McFly) – Officially Unveiled ~http
negative	3	453640	I'm starving ugh /..still at the doctors waitin [they need to hurry]
negative	3	2408889	Just passed like 4 gucci stores lmfao ppl dont need tht much gucci lmfaoo!!
negative	3	2533350	so ill but have to go to work; please let people not be jerks today...
neutral	3	1578820	Bing bing bam bam
neutral	3	2782415	Thats the way all twins should start their Career - The Gong Show is an amateur talent contest franchised by Sony Pi... ~http 
neutral	3	1256273	At ZoomAzon
positive	3	356249	Just found a $50 check from my birthday...awesome.
neutral	3	2644220	New Blog Post: "Character Bios"-Favorite Quotes ~http 
neutral	3	3160687	Microsoft Press sponsor Live Blogging at the Microsoft SharePoint Conference:   Those nice folks at Microsoft Pr... ~http 
neutral	3	724415	WHAT!!! I want a fancam T_T RT @user Omg RT @user @user henry piggybacked amber
positive	3	1133752	#ICanHonestlySay that were not perfect but were perfect for eachother #inlove
neutral	3	2203278	Buy for nike shoes cheap at ~http  #ineedtostop #ripnickiminaj
neutral	3	3492645	whose all goin to see gucci tonight
positive	3	2391577	Watching sister; sister I use to love this show
negative	3	1539446	facbook is actingg all gayy :@
neutral	3	3194530	Zelda Ocarina of Time comes out for the Nintendo DS on June 19th ~http 
neutral	3	3451816	At @user in the sony pictures lot. What to do; what to do...
negative	3	280442	Guys suck. They should all die. right now.
neutral	3	1726433	Coach Joyner and Coach Worthy full on Popeye's checking in at Nike Nationals.
neutral	3	1353573	Lookin real busted right now: wife beater; blue nike shorts; and some blue NB
neutral	3	176265	If you ignore your need for rest (in ministry) your going to crash @user
neutral	3	1822063	Woke up; with alot on my mind.
positive	3	787546	Yeah; I REALLY really wanna see you Friday.
neutral	3	2342347	#cloudcomputingnews Muglia Finds New Paycheck After Microsoft ~http 
positive	3	524635	This is how I roll ! Dam right
positive	3	2125939	Music; Microsoft Word; and a comfy bed...I think I'm in heaven...
negative	3	2974939	I love how nintendo thinks I'll pay 6 fucking dollars for gbc Zelda. NO...just...no! #thefuck?
neutral	3	625450	School is right around the corner and the Fall Career & Internship Fair is Sept. 15; 4:30pm-8pm. For more info: ~http 
neutral	3	1659310	Lady Gaga and Taylor Kinney: Dating? (People Magazine ) ~http 
positive	3	1046743	In love with her! :)
positive	3	2657536	I think Sony is winning #E3. Count my vote on @user ~http  via @user
neutral	3	996745	"@ZAHOOFFICIEL: Iphone ou blackberry ? Nike ou adiddas ?" don't worry about those things just finish recording your new cd :-)
negative	3	2271544	Came to a conclusion; bing isn't wack just dnt have people down to drink anymore like the old days
negative	3	306463	Oh that Gucci bag is real? #yeahright
neutral	3	3232479	still cant decide whether I should be using my samsung omnia or my Nokia E90 communicator - what do you think ?
negative	3	1179880	i hope a really big fish eats you .
neutral	3	155052	New blog post: ~http  - Ask the Experts – Navigating MPN Competency Requirements for Microsoft Dynamics Partners
positive	3	3545678	Omg the gucci advert with james franco was just on....hot
neutral	3	908484	I've lived with 4 men that have made it to the nfl. #luckyduck
neutral	3	1790666	Naturally Curly Hair Recipe - Yogurt Curl Stretcher: ~http  via @user
positive	3	1703914	My Lifesaver! ~http  #hipstamatic
neutral	3	610223	Radioactive Smoke: A Reader Poll and Declassified Documents about Polonium in Cigarettes ~http 
neutral	3	364488	Happy Monday!  InsideOUT will be discussing Media Representation of the Queer Community from 6-7pm in the LGBTQ Resource Center.
neutral	3	3053132	Samsung Galaxy 2 to land on Sprint with NFC as the Samsung ‘Within’ - ~http  @user
positive	3	2013770	Opening weekend was a success
neutral	3	517620	Who want to buy my t-mobile Samsung galaxy?!
neutral	3	2542421	University of bath gets way better treatment than bath spa
neutral	3	3113136	VW / Audi BOSCH  Air Cut-Off Valve (turbocharger) ~http 
neutral	3	1832873	~ Should mention - students only.  RT @user Want an Xbox? Buy a Windows 7 PC and Microsoft will give you one for free ~http 
neutral	3	2661716	Doll Time... Lolita Meet up 07.08.2010 ~http
neutral	3	3045071	Fresh on nike shoes: General Knowledge Pt.- XI
neutral	3	2834380	Fast Company: Bing Finds More Market Share in Second Week of Searching ~http  courtesy of @user
neutral	3	205473	Oem software microsoft visual studio 2010 beta 2: Chances are slim; but if reduce sofrware noise beta fix ... ~http
neutral	3	1681143	Normally people say TGIF but what does a person say when Friday is they're Monday?
neutral	3	3360210	Michael J. Fox Was Just On David Letterman Talking About The 2011 Nike Mags...
neutral	3	2989584	Chance to win a Samsung 46" 3D Smart TV ~http 
neutral	3	1933012	Watching titanic while my city burns?....oh the irony of fire and ice #londonriots
neutral	3	1740106	did p diddy/puffy/puff daddy just change his name again??? to diddy money?!?!? #americanidol
neutral	3	230747	Who remembers microsoft encarta? And the grandmaster flash video on there? #howhiphopchangedtheworld
positive	3	527519	Better johnny...!
neutral	3	109069	Watch new Partner Webcast Series on Microsoft Parnter Network Community website. ~http
neutral	3	1895369	New Post!!  HTC Thunderbolt; LG Revolution; Samsung 4G LTE; Droid Bionic Unveiled By Verizon At CES 2011 (PHOTOS) ~http 
neutral	3	681443	Hey #Ottawa; where should @user hold her 20-person dinner?
neutral	3	2590609	BBC News - Toshiba; Hitachi and Sony to form LCD display company ~http 
neutral	3	2635339	Psssssssst... ANYTIME;) @user
negative	3	2620175	ahhhhhhhhhhhhhhhhhhhhh too much college work boys.
neutral	3	109233	students; please RT! Dreamspark gives students Microsoft professional tools at no charge ~http  @user @user
neutral	3	555514	My word im getting intoxicated quickly
neutral	3	90813	Software New: Microsoft Word 2007: Shortcuts with Macros ~http
positive	3	1128999	Perfect day :)
neutral	3	535154	Looking for folks to come to How to Buy or Sell Businesses seminar; Portsmouth NH 7:00 PM Hilton Garden Inn Thursday March 26.  It is FREE
neutral	3	2579032	Check this video out -- Killin' it in RENO!! ~http  via @user
positive	3	2391646	LADIES RUN THE WORLD!!!!! THE CLASSY ONES THE ONES THAT HAVE RESPECT FOR THIERSELFS!!!!
positive	3	1377278	I love my sister! Shes buyibg us laoada of alcohol and were getting drunk on our own with the wii LOL
neutral	3	68080	LGN Events: Introducing Azim Khan..... ~http
neutral	3	3494091	HP shopped around PC business to LG and Samsung in 2010 ...: HP tried to sell off its PC business to Korean tech... ~http 
neutral	3	419234	WHERES THE NEW NICKI MUSIC ?
neutral	3	121395	Promotional Offer:  Lash Lift + Lash Tint $85 (reg price $95); lasts up to 6 weeks!
neutral	3	3338431	unveiling the next generation of Nike Pro Combat football gear ~http 
neutral	3	1695624	Bunch of observation satellites...What's your angle
positive	3	2510773	I Lovee! @user
